document_id,document_url,sale_date,file_date,pages,scraped_address
FRCL-2025-3480,https://www.cclerk.hctx.net/applications/websearch/ViewECdocs.aspx?ID=bWXqGXasMeuE7YZXR3B2NW0UevloRcvKy8HaVZSCe+Arb/U+aD5L+hEec5jheHPLO8Mz/7nxYDWE4ifyBWKB5/3wdGW0TtMIXmngHiJUjXLBRWyyUpamW3eB8NhMwFxV,2025-07-01,2025-05-08,2,"LOT 27, BLOCK 8."
FRCL-2025-3485,https://www.cclerk.hctx.net/applications/websearch/ViewECdocs.aspx?ID=bWXqGXasMeuE7YZXR3B2NW0UevloRcvKy8HaVZSCe+B/s6fqK3c02Y3LPcK5pPrCnwhijbQDI8K7KSOFav+w2QWyKygMfKTyrxvbk7SE4zWNXGXESI/TFXdQchpq7Id+,2025-08-05,2025-05-08,2,"LOT 7, IN BLOCK 1, OF GOOSE CRE TEXAS, ACCORDING TO THE MAP OR PLAT THEREOF R RECORDS OF HARRIS COUNTY, TEXAS."
FRCL-2025-3487,https://www.cclerk.hctx.net/applications/websearch/ViewECdocs.aspx?ID=bWXqGXasMeuE7YZXR3B2NW0UevloRcvKy8HaVZSCe+Ao5TK7buYhc5NgZqiqRA7fWtKXynCc/l4uTxxl8WHbulMAM+TLPDCYMI8AWbdEjQG9+pmPGTVbYh62V3++2JJw,2025-08-05,2025-05-08,2,"LOT 19, BLOCK 6, OF BRECKENRIDGE EAST, SEC. 1, THEREOF RECORDED IN FILM CODE NO."
FRCL-2025-3489,https://www.cclerk.hctx.net/applications/websearch/ViewECdocs.aspx?ID=bWXqGXasMeuE7YZXR3B2NW0UevloRcvKy8HaVZSCe+Dw3vXcZc+8mmGL4uk7PHIhIZqY+kiLrTVF2e0kc/DQxwsF2suHKebbPbdEx0pdMvNW2sunNxnRRu3l0G51Gwoa,2025-08-05,2025-05-08,2,"LOT 6 IN BLOCK 2 OF CYPRESSWOO COUNTY, TEXAS, ACCORDING TO THE MAP OR P 694019 OF THE MAP/PLAT RECORDS OF HARRIS C."
FRCL-2025-3490,https://www.cclerk.hctx.net/applications/websearch/ViewECdocs.aspx?ID=bWXqGXasMeuE7YZXR3B2NW0UevloRcvKy8HaVZSCe+DZ2IKP7AKveupoT0oD/v+C2QC3GUVRHLVd/AGYlAz0GGWCP45QWIFY5pUKsLcvFrJUNNZZLTgQkbJpAxkIKU/M,2025-08-05,2025-05-08,2,"200 A, Anaheim, CA 92806"
FRCL-2025-3501,https://www.cclerk.hctx.net/applications/websearch/ViewECdocs.aspx?ID=bWXqGXasMeuE7YZXR3B2NSctYTuovCoLAnxWiQc4kOBGs/DeK7fkl4Nint+z0iZD7iJ8KlLJLfvT4NF0QrU/WHCjgX8P1tmdSPUEXPBPRUv0luqRKINMgp2AmtqdvrKU,2025-06-03,2025-05-08,3,"LOT 2, BLOCK 1."
FRCL-2025-3504,https://www.cclerk.hctx.net/applications/websearch/ViewECdocs.aspx?ID=bWXqGXasMeuE7YZXR3B2NW0UevloRcvKy8HaVZSCe+B8u7OvsgzahP2cFfyFZX7J/Va9mHaU19Od116RpDsFXUvZBwxqA9+YHh8D47MWW1ZCEr22pMZysZSabXs3nrkV,2025-06-03,2025-05-08,2,"0304 8611 JOGGERS LN, HUMBLE, TX 77346"
FRCL-2025-3516,https://www.cclerk.hctx.net/applications/websearch/ViewECdocs.aspx?ID=bWXqGXasMeuE7YZXR3B2NTMpaBXnukMxGqAWQp70aL9SgIfIy2wsQHZJZ3QcwYZFXdtQR9yFA6IcORoVM9jd70zSVllTLs1ERNATdstzLBx8zBZRG0BglOEr1HOSRqVQ,2025-06-03,2025-05-08,1,"LOT 10, IN BLOCK 4, OF BARKER I ACCORDING TO THE MAP OR PLAT THEREOF RECORDED UNDER FILM I."
FRCL-2025-3517,https://www.cclerk.hctx.net/applications/websearch/ViewECdocs.aspx?ID=bWXqGXasMeuE7YZXR3B2NTMpaBXnukMxGqAWQp70aL9xt1X36H+cn6qSFZDYjirn+ne/CxWx60k5eSWsmymKUXbM0DEWi1GSWb7ldUqJSr9qRfP7C6Wob/RhyoqYaoVF,2025-06-03,2025-05-08,1,"LOT 15, BLOCK 11 ( ACCORDING TO THE MAP OR PLAT THEREOF RECORDE)."
FRCL-2025-3519,https://www.cclerk.hctx.net/applications/websearch/ViewECdocs.aspx?ID=bWXqGXasMeuE7YZXR3B2NTMpaBXnukMxGqAWQp70aL+78TyHLy607oEp1mCzvGt6Wq6EQrEcTKam+dcEAbCayUt/XUo6IaH0c/li4P9+wR+wKLJA0b2/xgzL6cnN2HNY,2025-06-03,2025-05-08,1,LOT 30 IN BLOCK 1 ( ACCORDING TO THE MAP OR PLAT THEREOF TEXAS.
